model,train_accuracy,test_accuracy,train_macro_f1,test_macro_f1,roc_auc_ovr_macro,pr_auc_macro
Multilayer Perceptron,0.9195833333333333,0.91,0.887999656702242,0.8807650212106445,0.9859028299100904,0.9513649978564854
Random Forest,1.0,0.895,1.0,0.8680817351416864,0.9764384349503824,0.9232559044887862
Logistic Regression,0.9058333333333334,0.8916666666666667,0.8799606657296666,0.8637159077258124,0.9860532461232112,0.9519772250234793
Decision Tree,0.86375,0.795,0.84503553815552,0.7647694453964181,0.9276017406292499,0.8358532806763458
